ip,latitude,longitude
153.92.3.142,34.9221,33.6279
153.92.2.151,34.9221,33.6279
153.92.2.103,35.6009,-82.5540
62.115.192.178,48.8534,2.3488
62.115.136.78,48.8534,2.3488
62.115.136.33,48.8534,2.3488
154.54.38.66,48.8534,2.3488
62.115.118.62,48.8534,2.3488
199.232.208.194,37.7621,-122.3971
